,type,price,beds,bath,propertysqft,locality,sublocality,latitude,longitude,borough,zip_code,broker_name
805,Multi-family home for sale,980000,3,4.0,2700.0,New York,Kings County,40.586018,-73.92521,Brooklyn,11229,RE/MAX
806,House for sale,800000,3,2.0,2184.2078,New York,Queens County,40.71593,-73.88585,Other,11379,Other
807,House for sale,1299000,3,4.0,4450.0,New York,Bronx County,40.854862,-73.79067,Bronx,10464,Century 21
808,House for sale,799000,3,2.0,1128.0,New York,Kings County,40.61692,-73.94153,Brooklyn,11234,Sotheby's International Realty
809,House for sale,995000,3,2.0,3080.0,New York,Bronx County,40.851387,-73.854324,Bronx,10461,Other
810,House for sale,1250000,5,3.0,2295.0,New York,Kings County,40.61702,-73.98784,Brooklyn,11204,Other
811,Multi-family home for sale,1275000,3,4.0,2184.2078,New York,Queens County,40.767517,-73.74397,Other,11363,Other
812,Multi-family home for sale,749999,6,3.0,3150.0,New York,Bronx County,40.845394,-73.868164,Bronx,10462,Other
813,Townhouse for sale,2650000,5,4.0,4100.0,New York,Kings County,40.6711,-73.94734,Brooklyn,11216,Serhant
814,Co-op for sale,999000,2,1.0,2184.2078,New York County,New York,40.786667,-73.974144,Manhattan,10024,Other
815,Co-op for sale,279000,2,1.0,2184.2078,Queens County,Queens,40.70693,-73.82404,Other,11415,Other
816,Condo for sale,479000,2,2.0,1008.0,Richmond County,Staten Island,40.57829,-74.1583,Staten Island,10314,Other
817,Co-op for sale,2300000,2,2.0,1600.0,New York,New York County,40.723618,-73.97817,Manhattan,10009,Douglas Elliman
818,Multi-family home for sale,1390000,6,5.0,2245.0,New York,Queens County,40.711113,-73.736176,Queens,11429,eXp Realty
819,Co-op for sale,450000,3,2.0,1026.0,Queens County,Queens,40.73235,-73.86117,Queens,11374,COMPASS
820,Co-op for sale,999000,3,2.0,2184.2078,New York County,New York,40.79821,-73.96802,Manhattan,10025,Other
821,House for sale,1999000,4,4.0,3420.0,New York,Richmond County,40.593914,-74.10599,Staten Island,10304,Robert DeFalco Realty
822,Mobile house for sale,1288000,6,3.0,2184.2078,New York,Queens County,40.760906,-73.86156,Other,11369,Other
823,Multi-family home for sale,639888,5,3.0,1376.0,New York,Richmond County,40.556404,-74.197525,Staten Island,10312,NoBroker
824,House for sale,569900,4,2.0,2180.0,New York,Richmond County,40.639557,-74.080765,Staten Island,10301,COMPASS
825,House for sale,1630000,7,4.0,2184.2078,New York,Queens County,40.770473,-73.73188,Other,11362,Other
826,Multi-family home for sale,689888,3,2.0,1300.0,New York,Queens County,40.67808,-73.8189,Other,11420,Other
827,Co-op for sale,378000,2,1.0,2184.2078,Queens County,Queens,40.7342,-73.81974,Queens,11367,E Realty International
828,Co-op for sale,149000,1,1.0,2184.2078,Queens County,Queens,40.75813,-73.85694,Other,11368,Other
829,House for sale,589000,4,3.0,1320.0,New York,Richmond County,40.63567,-74.16689,Staten Island,10303,RE/MAX
830,Co-op for sale,195000,1,1.0,2184.2078,Queens County,Queens,40.765926,-73.74539,Other,11363,East Coast REALTORS Inc
831,House for sale,299000,1,1.0,608.0,New York,Richmond County,40.563835,-74.098976,Staten Island,10306,Other
832,House for sale,1750000,4,4.0,3645.0,New York,Queens County,40.796894,-73.823,Other,11357,RE/MAX
833,Townhouse for sale,815000,3,2.0,2184.2078,New York,Queens County,40.722656,-73.87762,Other,11379,Douglas Elliman
834,Multi-family home for sale,989000,5,3.0,2184.2078,New York,Queens County,40.753166,-73.88369,Queens,11372,Other
835,Condo for sale,1075000,2,2.0,2184.2078,New York,New York County,40.75079,-73.99741,Manhattan,10001,Corcoran
836,House for sale,879000,2,1.0,1000.0,New York County,New York,40.761536,-73.95798,Manhattan,10065,Douglas Elliman
837,Co-op for sale,999995,2,1.0,2184.2078,New York County,New York,40.7322,-73.9889,Manhattan,10003,Corcoran
838,Co-op for sale,430000,2,2.0,1200.0,Bronx County,The Bronx,40.883064,-73.92064,Bronx,10463,Other
839,Co-op for sale,445000,3,2.0,2184.2078,Queens County,Queens,40.754726,-73.825554,Queens,11355,NoBroker
840,House for sale,999000,3,2.0,1900.0,New York,Kings County,40.622803,-74.01097,Brooklyn,11228,RE/MAX
841,House for sale,2299000,6,4.0,2184.2078,New York,Queens County,40.717197,-73.84969,Other,11375,Keller Williams
842,House for sale,1225000,4,2.0,1960.0,New York,Queens County,40.76848,-73.76666,Other,11361,Other
843,House for sale,849000,3,2.0,2184.2078,New York,Queens County,40.72823,-73.87325,Queens,11374,Other
844,House for sale,1350000,4,3.0,1760.0,New York,Queens County,40.72936,-73.78302,Other,11366,Winzone Realty
845,House for sale,1600000,4,4.0,3150.0,New York,Richmond County,40.536488,-74.198715,Staten Island,10312,Other
846,Condo for sale,600000,3,1.0,441.0,New York County,New York,40.769108,-73.98162,Manhattan,10023,COMPASS
847,Co-op for sale,435000,3,1.0,2184.2078,New York County,New York,40.779964,-73.98416,Manhattan,10023,Douglas Elliman
848,Co-op for sale,329000,1,1.0,750.0,Kings County,Brooklyn,40.61593,-74.033585,Brooklyn,11209,COMPASS
