,type,price,beds,bath,propertysqft,locality,sublocality,latitude,longitude,borough,zip_code,broker_name
2134,Condo for sale,500000,1,1.0,720.0,New York County,New York,40.79839,-73.93789,Manhattan,10035,COMPASS
2135,House for sale,695000,3,2.0,1926.0,New York,Kings County,40.671364,-73.86735,Brooklyn,11208,Corcoran
2136,Co-op for sale,215000,3,1.0,2184.2078,New York,Queens County,40.733795,-73.86208,Queens,11374,Other
2137,House for sale,759000,3,1.0,2184.2078,New York,Queens County,40.71425,-73.88305,Other,11379,Other
2138,Co-op for sale,375000,1,1.0,1185.0,Richmond County,Staten Island,40.63812,-74.07397,Staten Island,10301,Serhant
2139,Multi-family home for sale,2700000,24,24.0,18936.0,Kings County,Brooklyn,40.640182,-73.94294,Brooklyn,11203,Coldwell Banker
2140,Co-op for sale,389888,1,1.0,730.0,New York,Queens County,40.747955,-73.89295,Queens,11372,eXp Realty
2141,Co-op for sale,285000,1,1.0,900.0,Kings County,Brooklyn,40.58111,-73.96675,Brooklyn,11235,RE/MAX
2142,Co-op for sale,2795000,4,2.0,2184.2078,New York County,New York,40.797565,-73.97204,Manhattan,10025,Brown Harris Stevens
2143,Condo for sale,674999,3,1.0,1299.0,Richmond County,Staten Island,40.640366,-74.07376,Staten Island,10301,Other
2144,Townhouse for sale,12995000,4,4.0,5608.0,New York,New York County,40.769447,-73.96346,Manhattan,10021,Serhant
2145,House for sale,759000,3,2.0,1260.0,New York,Kings County,40.618435,-73.91134,Brooklyn,11234,BERGEN BASIN REALTY
2146,Condo for sale,995000,2,2.0,1030.0,Kings County,Brooklyn,40.66555,-73.99222,Brooklyn,11215,Brown Harris Stevens
2147,Co-op for sale,229000,1,1.0,2184.2078,Kings County,Brooklyn,40.587425,-73.9488,Brooklyn,11235,Other
2148,Co-op for sale,239000,1,1.0,800.0,Bronx County,The Bronx,40.880985,-73.91023,Bronx,10463,Other
2149,Co-op for sale,315000,2,1.0,2184.2078,New York County,New York,40.81016,-73.9388,Manhattan,10037,COMPASS
2150,House for sale,1100000,5,3.0,2192.0,New York,Queens County,40.65002,-73.84478,Other,11414,Other
2151,Co-op for sale,225000,1,1.0,2184.2078,Queens County,Queens,40.775356,-73.90855,Queens,11105,Other
2152,House for sale,868000,3,2.0,1484.0,New York,Richmond County,40.58024,-74.101814,Staten Island,10306,Other
2153,Multi-family home for sale,1380000,5,3.0,2184.2078,New York,Queens County,40.760036,-73.86921,Other,11369,Century Homes Realty Group LLC
2154,House for sale,1100000,4,2.0,1800.0,New York,Richmond County,40.510338,-74.242485,Staten Island,10307,Other
2155,Co-op for sale,865000,1,1.0,2184.2078,New York County,New York,40.743374,-73.98363,Manhattan,10016,COMPASS
2156,House for sale,749000,3,2.0,1800.0,New York,Richmond County,40.610565,-74.1238,Staten Island,10314,Other
2157,Multi-family home for sale,775000,5,2.0,1600.0,New York,Bronx County,40.81666,-73.81394,Bronx,10465,RE/MAX
2158,Co-op for sale,2395000,2,2.0,1650.0,New York,New York County,40.75881,-73.96471,Manhattan,10022,Corcoran
2159,Multi-family home for sale,2300000,8,6.0,4000.0,New York,Kings County,40.608368,-74.011215,Brooklyn,11228,RE/MAX
2160,Condo for sale,700000,1,2.0,900.0,New York County,New York,40.82116,-73.94455,Manhattan,10030,Keller Williams
2161,Condo for sale,450000,3,1.0,494.0,Kings County,Brooklyn,40.646645,-74.01196,Brooklyn,11220,Corcoran
2162,Co-op for sale,280000,3,1.0,2184.2078,New York County,New York,40.77378,-73.949585,Manhattan,10028,COMPASS
2163,Condo for sale,3890000,3,4.0,2446.0,New York County,New York,40.75185,-73.97252,Manhattan,10017,Serhant
2164,Co-op for sale,198000,1,1.0,2184.2078,Queens County,Queens,40.720848,-73.85893,Queens,11374,Keller Williams
2165,House for sale,1099000,3,2.0,1092.0,New York,Richmond County,40.603874,-74.07391,Staten Island,10305,Coldwell Banker
2166,Co-op for sale,779000,1,1.0,800.0,New York County,New York,40.792004,-73.97678,Manhattan,10024,Other
2167,Multi-family home for sale,1880000,5,2.0,1850.0,New York,Kings County,40.618454,-73.99493,Brooklyn,11204,RE/MAX
2168,House for sale,509000,3,1.0,1100.0,New York,Bronx County,40.818142,-73.81055,Bronx,10465,Other
2169,Condo for sale,499000,1,1.0,845.0,Kings County,Brooklyn,40.61147,-73.9541,Brooklyn,11230,Nest Seekers International
2170,Co-op for sale,204888,3,1.0,2184.2078,Queens County,Queens,40.72845,-73.84924,Other,11375,RE/MAX
2171,Multi-family home for sale,1499000,8,3.0,3300.0,New York,Bronx County,40.89986,-73.85222,Bronx,10466,Century 21
2172,House for sale,1295000,8,3.0,3050.0,New York,Kings County,40.578697,-73.955154,Brooklyn,11235,Other
2173,Condo for sale,395000,1,1.0,519.0,New York,Queens County,40.72676,-73.82946,Queens,11367,eXp Realty
2174,Multi-family home for sale,760000,4,2.0,1490.0,New York,Richmond County,40.610016,-74.07547,Staten Island,10305,Other
2175,House for sale,988000,4,3.0,1552.0,New York,Queens County,40.72648,-73.80935,Queens,11366,Other
2176,Condo for sale,528000,2,1.0,753.0,New York,Queens County,40.72676,-73.82946,Queens,11367,B Square Realty
2177,Multi-family home for sale,949000,5,4.0,2184.2078,New York,Kings County,40.66516,-73.88816,Brooklyn,11207,RE/MAX
2178,Condo for sale,420000,2,1.0,840.0,Richmond County,Staten Island,40.594563,-74.15966,Staten Island,10314,Other
2179,Condo for sale,1750000,3,2.0,1494.0,New York County,New York,40.78478,-73.97785,Manhattan,10024,Sotheby's International Realty
2180,Co-op for sale,268000,1,1.0,850.0,Queens County,Queens,40.774197,-73.82567,Queens,11354,Other
2181,House for sale,849000,3,2.0,2184.2078,New York,Queens County,40.739887,-73.85062,Other,11368,Real Broker NY LLC
2182,Multi-family home for sale,1095000,3,2.0,2184.2078,New York,Queens County,40.75749,-73.911606,Queens,11103,Other
2183,Condo for sale,4295000,3,2.0,2615.0,New York County,New York,40.768803,-73.98625,Manhattan,10019,Corcoran
2184,Multi-family home for sale,720000,3,2.0,2184.2078,New York,Queens County,40.68998,-73.81853,Other,11418,Other
2185,House for sale,729999,3,2.0,1056.0,New York,Queens County,40.676243,-73.79452,Queens,11436,Other
2186,Co-op for sale,425000,3,1.0,2184.2078,New York County,New York,40.795742,-73.969986,Manhattan,10025,Douglas Elliman
2187,House for sale,848000,3,3.0,1080.0,New York,Kings County,40.618023,-73.99711,Brooklyn,11204,Century 21
2188,Co-op for sale,213000,3,1.0,430.0,Kings County,Brooklyn,40.63399,-73.96891,Brooklyn,11230,Douglas Elliman
2189,Multi-family home for sale,795000,3,2.0,1725.0,New York,Kings County,40.678165,-73.91851,Brooklyn,11233,Other
2190,Condo for sale,1350000,2,1.0,2184.2078,New York,Kings County,40.679977,-73.97879,Brooklyn,11217,Nest Seekers International
2191,Co-op for sale,649000,2,2.0,1500.0,Queens County,Queens,40.756832,-73.715195,Other,11005,Other
2192,Co-op for sale,439000,2,1.0,900.0,Queens County,Queens,40.787746,-73.781075,Other,11360,Keller Williams
2193,Multi-family home for sale,1699000,5,5.0,2184.2078,New York,Queens County,40.76915,-73.90737,Queens,11105,Douglas Elliman
2194,Condo for sale,2375000,2,2.0,986.0,New York,Queens County,40.74788,-73.94447,Queens,11101,Nest Seekers International
2195,Co-op for sale,349999,1,1.0,2184.2078,Queens County,Queens,40.731895,-73.85996,Queens,11374,Other
2196,House for sale,425000,2,1.0,2184.2078,New York,Queens County,40.677902,-73.799286,Queens,11436,Other
2197,House for sale,1650000,3,4.0,2272.0,New York,Kings County,40.579952,-73.93835,Brooklyn,11235,Other
2198,Co-op for sale,1150000,1,1.0,984.0,Kings County,Brooklyn,40.694622,-73.996994,Brooklyn,11201,Douglas Elliman
2199,House for sale,2399000,5,5.0,2184.2078,New York,Kings County,40.611553,-73.9062,Brooklyn,11234,RE/MAX
2200,Multi-family home for sale,989000,8,5.0,3252.0,New York,Bronx County,40.885044,-73.8563,Bronx,10466,RE/MAX
2201,Co-op for sale,318888,1,1.0,875.0,Queens County,Queens,40.736927,-73.857765,Other,11368,Other
2202,Co-op for sale,799000,2,2.0,1549.0,Queens County,Queens,40.756832,-73.715195,Other,11005,Charles H. Greenthal Property
2203,Co-op for sale,489000,2,1.0,950.0,Kings County,Brooklyn,40.620502,-74.039696,Brooklyn,11209,RE/MAX
2204,Co-op for sale,398000,2,1.0,900.0,Kings County,Brooklyn,40.633766,-74.03055,Brooklyn,11209,Other
2205,House for sale,1190000,3,2.0,1088.0,New York,Kings County,40.578773,-73.94019,Brooklyn,11235,Other
2206,Townhouse for sale,795000,5,2.0,2184.2078,New York,Kings County,40.66781,-73.87396,Brooklyn,11208,Other
2207,Multi-family home for sale,750000,3,4.0,2184.2078,New York,Kings County,40.646362,-73.932526,Brooklyn,11203,Douglas Elliman
2208,Condo for sale,899999,3,3.0,1750.0,Queens County,Queens,40.76548,-73.81787,Queens,11354,Other
2209,Condo for sale,1325000,3,2.0,1597.0,Kings County,Brooklyn,40.616344,-74.03779,Brooklyn,11209,COMPASS
2210,Townhouse for sale,595000,1,2.0,846.0,Kings County,Brooklyn,40.67496,-73.940186,Brooklyn,11213,Corcoran
2211,Multi-family home for sale,10700000,42,43.0,27152.0,New York,Richmond County,40.62767,-74.14235,Staten Island,10302,Other
2212,Condo for sale,330000,1,1.0,726.0,Richmond County,Staten Island,40.629932,-74.09992,Staten Island,10301,Keller Williams
2213,Condo for sale,2998000,3,3.0,1763.0,New York,Queens County,40.746574,-73.95698,Queens,11109,COMPASS
2214,Co-op for sale,425000,2,1.0,2184.2078,Kings County,Brooklyn,40.699913,-73.93662,Brooklyn,11206,Keller Williams
2215,Co-op for sale,345000,2,1.0,1000.0,Bronx County,The Bronx,40.881927,-73.91728,Bronx,10463,Sotheby's International Realty
2216,Condo for sale,999000,2,2.0,1187.0,Queens County,Queens,40.756,-73.8293,Queens,11355,NoBroker
2217,Co-op for sale,135000,2,1.0,750.0,Bronx County,The Bronx,40.822426,-73.89004,Bronx,10459,Other
2218,Condo for sale,261250,2,1.0,857.0,Bronx County,The Bronx,40.824596,-73.88984,Bronx,10459,Other
2219,Condo for sale,728000,3,2.0,1450.0,Queens County,Queens,40.74368,-73.89832,Queens,11377,Other
2220,Condo for sale,1950000,3,3.0,1300.0,New York County,New York,40.777065,-73.9523,Manhattan,10028,COMPASS
2221,Co-op for sale,600000,2,2.0,900.0,New York County,New York,40.853592,-73.93596,Manhattan,10033,Other
2222,Condo for sale,569000,1,1.0,739.0,Kings County,Brooklyn,40.604366,-73.975746,Brooklyn,11223,Other
2223,Co-op for sale,749000,1,1.0,2184.2078,New York County,New York,40.724106,-74.003555,Manhattan,10012,COMPASS
2224,Multi-family home for sale,1138000,5,3.0,1026.0,New York,Kings County,40.62403,-73.995415,Brooklyn,11219,E Realty International
2225,Multi-family home for sale,1359000,11,6.0,2240.0,New York,Kings County,40.69419,-73.913055,Brooklyn,11221,Other
2226,Multi-family home for sale,3720000,8,8.0,5500.0,New York,New York County,40.715897,-73.9898,Manhattan,10002,COMPASS
2227,Multi-family home for sale,974998,7,2.0,2184.2078,New York,Kings County,40.675446,-73.88231,Brooklyn,11208,Other
2228,Co-op for sale,300000,3,1.0,600.0,Kings County,Brooklyn,40.637268,-73.9713,Brooklyn,11218,COMPASS
2229,House for sale,729000,3,3.0,2184.2078,New York,Queens County,40.705223,-73.7583,Other,11412,Other
2230,Co-op for sale,750000,2,2.0,2184.2078,New York County,New York,40.76517,-73.96787,Manhattan,10065,Sotheby's International Realty
2231,House for sale,599000,3,2.0,1120.0,New York,Richmond County,40.586376,-74.14706,Staten Island,10314,Other
2232,Townhouse for sale,11950000,6,5.0,5336.0,New York,New York County,40.77275,-73.96509,Manhattan,10021,Sotheby's International Realty
2233,Co-op for sale,825000,1,2.0,1100.0,New York County,New York,40.77667,-73.943924,Manhattan,10128,Corcoran
2234,Co-op for sale,289000,3,1.0,2184.2078,Kings County,Brooklyn,40.646114,-73.98134,Brooklyn,11218,Brown Harris Stevens
2235,Condo for sale,4750000,4,4.0,4100.0,New York County,New York,40.73752,-73.99796,Manhattan,10011,Douglas Elliman
2236,Co-op for sale,899999,2,1.0,2184.2078,New York County,New York,40.730858,-73.98786,Manhattan,10003,Douglas Elliman
2237,Townhouse for sale,868000,2,2.0,1152.0,New York,Queens County,40.72592,-73.88143,Other,11379,Other
2238,Condo for sale,3995000,3,3.0,1637.0,New York County,New York,40.74356,-74.00633,Manhattan,10011,COMPASS
2239,House for sale,1500000,3,2.0,1240.0,New York,Kings County,40.60456,-74.01145,Brooklyn,11214,Other
2240,House for sale,625000,4,2.0,2184.2078,New York,Kings County,40.6284,-73.93344,Brooklyn,11234,Other
2241,Multi-family home for sale,749900,5,2.0,1400.0,New York,Kings County,40.675465,-73.878075,Brooklyn,11208,eXp Realty
2242,Multi-family home for sale,799000,6,4.0,2310.0,New York,Bronx County,40.897884,-73.85622,Bronx,10466,RE/MAX
2243,Co-op for sale,959000,3,4.0,1993.0,Queens County,Queens,40.756477,-73.7212,Other,11005,Charles H. Greenthal Property
2244,Multi-family home for sale,888000,5,3.0,2980.0,New York,Kings County,40.64843,-73.91668,Other,11203,Other
2245,House for sale,725000,2,2.0,988.0,New York,Richmond County,40.582176,-74.10787,Staten Island,10306,Other
2246,Condop for sale,1065000,2,2.0,2184.2078,New York,Manhattan,40.785015,-73.948166,Manhattan,10128,Brown Harris Stevens
2247,Townhouse for sale,19995000,7,6.0,8200.0,New York,New York County,40.777782,-73.962006,Manhattan,10028,Douglas Elliman
2248,Condo for sale,744000,2,1.0,890.0,Queens County,Queens,40.759262,-73.92574,Queens,11106,Keller Williams
2249,Condo for sale,4595000,4,4.0,3052.0,New York County,New York,40.72419,-73.98046,Manhattan,10009,Douglas Elliman
2250,Co-op for sale,475000,1,1.0,2184.2078,Kings County,Brooklyn,40.671883,-73.96156,Brooklyn,11238,5 Boro Realty Corp
2251,Co-op for sale,189000,2,1.0,800.0,Bronx County,The Bronx,40.852238,-73.8655,Bronx,10462,Other
2252,House for sale,998888,4,3.0,2184.2078,New York,Queens County,40.682564,-73.79908,Queens,11436,Other
2253,Co-op for sale,32000000,4,6.0,7500.0,New York,New York County,40.72376,-74.00216,Manhattan,10012,Other
2254,Multi-family home for sale,3250000,6,4.0,3059.0,New York,Kings County,40.68774,-73.96189,Brooklyn,11238,eXp Realty
2255,Multi-family home for sale,769000,7,2.0,2100.0,New York,Richmond County,40.621964,-74.08328,Staten Island,10304,Other
2256,House for sale,648998,3,2.0,1296.0,New York,Bronx County,40.861168,-73.84672,Bronx,10469,eXp Realty
2257,House for sale,1699900,7,5.0,2418.0,New York,Kings County,40.689888,-73.90852,Brooklyn,11207,Other
2258,Co-op for sale,395250,1,1.0,650.0,Queens County,Queens,40.76425,-73.92761,Queens,11106,Douglas Elliman
2259,House for sale,539000,3,2.0,972.0,New York,Richmond County,40.610443,-74.06285,Staten Island,10305,Other
2260,Townhouse for sale,1348000,5,2.0,2184.2078,New York,Queens County,40.746296,-73.85958,Queens,11368,Other
2261,Condo for sale,1450000,3,3.0,1855.0,Queens County,Queens,40.75731,-73.83418,Queens,11354,Other
2262,Co-op for sale,465000,2,1.0,2184.2078,New York,Queens County,40.748398,-73.87957,Queens,11372,eXp Realty
2263,Condo for sale,6500000,2,2.0,1639.0,New York County,New York,40.76019,-73.98436,Manhattan,10019,Keller Williams
2264,Co-op for sale,297000,1,1.0,800.0,Queens County,Queens,40.73228,-73.85181,Other,11375,Keller Williams
2265,Co-op for sale,244900,1,1.0,518.0,Queens County,Queens,40.751118,-73.71601,Other,11004,Other
2266,House for sale,2480000,4,4.0,5150.0,New York,Queens County,40.79321,-73.8162,Other,11357,E Realty International
2267,Co-op for sale,230000,1,1.0,2184.2078,Queens County,Queens,40.736004,-73.849174,Other,11375,Coldwell Banker
2268,Condo for sale,780000,2,2.0,825.0,New York,Kings County,40.62886,-73.97049,Brooklyn,11230,Corcoran
2269,Townhouse for sale,4875000,3,3.0,2184.2078,New York,New York County,40.748962,-73.9783,Manhattan,10016,Corcoran
2270,Co-op for sale,539999,3,2.0,2184.2078,Queens County,Queens,40.756325,-73.87524,Queens,11372,COMPASS
2271,Co-op for sale,750000,2,2.0,1193.0,Bronx County,The Bronx,40.88256,-73.92127,Bronx,10463,COMPASS
2272,Condo for sale,2249000,2,3.0,2321.0,New York County,New York,40.748676,-73.981926,Manhattan,10016,The Agency
2273,Co-op for sale,270000,2,1.0,700.0,Queens County,Queens,40.77519,-73.909004,Queens,11101,Other
2274,Co-op for sale,1950000,2,2.0,2184.2078,New York County,New York,40.738026,-74.00539,Manhattan,10014,COMPASS
2275,Co-op for sale,240000,2,1.0,2184.2078,Queens County,Queens,40.698772,-73.85292,Other,11421,Other
2276,Condo for sale,628000,3,2.0,900.0,Queens County,Queens,40.737694,-73.880356,Queens,11373,Century Homes Realty Group LLC
2277,Co-op for sale,399000,2,1.0,2184.2078,Queens County,Queens,40.754486,-73.8741,Queens,11372,COMPASS
2278,House for sale,687000,2,1.0,2184.2078,New York,Bronx County,40.82142,-73.806274,Bronx,10465,Other
2279,Townhouse for sale,588000,2,2.0,2000.0,New York,Richmond County,40.590458,-74.15211,Staten Island,10314,RE/MAX
2280,Multi-family home for sale,825000,5,3.0,2184.2078,New York,Bronx County,40.829697,-73.876816,Bronx,10472,Other
2281,Condo for sale,285000,2,1.0,835.0,Bronx County,The Bronx,40.83962,-73.85876,Bronx,10462,Other
2282,Condo for sale,595000,3,1.0,915.0,Kings County,Brooklyn,40.69441,-73.95959,Brooklyn,11205,COMPASS
2283,Condo for sale,899000,2,2.0,1697.0,Richmond County,Staten Island,40.640366,-74.07376,Staten Island,10301,Other
2284,Townhouse for sale,2995000,5,2.0,4900.0,New York,New York County,40.817806,-73.9441,Manhattan,10030,Sotheby's International Realty
2285,House for sale,1180000,4,3.0,2184.2078,New York,Queens County,40.733597,-73.77886,Other,11366,E Realty International
2286,Co-op for sale,130000,1,1.0,2184.2078,Bronx County,The Bronx,40.865345,-73.90737,Bronx,10468,Other
2287,House for sale,849999,3,2.0,2184.2078,New York,Queens County,40.722633,-73.81657,Queens,11367,Other
2288,Co-op for sale,185000,1,1.0,850.0,New York,Bronx County,40.87899,-73.90209,Bronx,10463,COMPASS
2289,Multi-family home for sale,2798000,5,3.0,3400.0,New York,Kings County,40.657852,-73.975525,Brooklyn,11215,Robert DeFalco Realty
2290,Co-op for sale,359000,2,1.0,950.0,Queens County,Queens,40.77333,-73.82747,Queens,11354,Other
2291,House for sale,988000,3,1.0,1296.0,New York,Queens County,40.75401,-73.818924,Queens,11355,E Realty International
2292,Co-op for sale,800000,1,1.0,2184.2078,New York County,New York,40.74866,-73.97205,Manhattan,10017,COMPASS
2293,Co-op for sale,400000,2,1.0,2184.2078,Queens County,Queens,40.75363,-73.88596,Queens,11372,Other
2294,Multi-family home for sale,965000,5,3.0,3520.0,New York,Bronx County,40.824703,-73.87661,Bronx,10472,Other
2295,Multi-family home for sale,1389000,5,2.0,2412.0,New York,Kings County,40.61574,-73.93453,Brooklyn,11234,BERGEN BASIN REALTY
2296,Condo for sale,525000,3,2.0,1185.0,Bronx County,The Bronx,40.80797,-73.85421,Bronx,10473,Other
2297,Multi-family home for sale,10000000,7,8.0,2184.2078,New York,New York County,40.734814,-73.99631,Manhattan,10011,Corcoran
2298,Co-op for sale,279000,2,1.0,2184.2078,New York,Queens County,40.740864,-73.75531,Other,11364,Keller Williams
2299,Multi-family home for sale,1850000,3,4.0,2184.2078,New York,Kings County,40.61406,-73.98532,Brooklyn,11204,Other
2300,Multi-family home for sale,2599000,11,6.0,5088.0,New York,Queens County,40.77094,-73.89738,Queens,11105,Other
2301,Co-op for sale,250000,1,1.0,800.0,Kings County,Brooklyn,40.61807,-73.96997,Brooklyn,11230,Douglas Elliman
2302,Co-op for sale,2250000,3,2.0,2000.0,New York,Kings County,40.665707,-73.97629,Brooklyn,11215,Corcoran
2303,Multi-family home for sale,1800000,9,7.0,2184.2078,New York,Queens County,40.772305,-73.91102,Queens,11105,Chase Global Realty Corp
2304,Co-op for sale,350000,3,2.0,1100.0,Kings County,Brooklyn,40.629704,-73.9256,Brooklyn,11234,Other
2305,House for sale,1649000,4,3.0,1452.0,New York,Kings County,40.703964,-73.92107,Brooklyn,11237,Other
2306,House for sale,1370000,6,3.0,2184.2078,New York,Queens County,40.710247,-73.804985,Queens,11432,Charles Rutenberg Realty Inc
2307,Co-op for sale,360000,2,1.0,2184.2078,New York County,New York,40.8165,-73.9411,Manhattan,10030,Other
2308,Co-op for sale,1050000,1,1.0,2184.2078,New York,Manhattan,40.731667,-73.996475,Manhattan,10003,Other
2309,Condo for sale,2200000,2,2.0,1308.0,New York County,New York,40.77403,-73.963295,Manhattan,10021,COMPASS
2310,Townhouse for sale,7850000,5,4.0,6060.0,New York,New York County,40.736675,-73.98605,Manhattan,10003,COMPASS
2311,Multi-family home for sale,4999000,8,5.0,4120.0,New York,New York County,40.764923,-73.99079,Manhattan,10019,COMPASS
2312,House for sale,1578000,5,3.0,2152.0,New York,Queens County,40.73468,-73.79051,Other,11365,Other
2313,House for sale,715000,3,2.0,2184.2078,New York,Queens County,40.701496,-73.76138,Other,11412,Other
2314,Townhouse for sale,600000,3,1.0,2184.2078,Kings County,Brooklyn,40.67864,-73.91066,Brooklyn,11233,COMPASS
2315,House for sale,850000,3,2.0,1090.0,New York,Richmond County,40.595295,-74.103966,Staten Island,10304,Other
2316,Condo for sale,1949000,2,2.0,1288.0,New York County,New York,40.723488,-73.97687,Manhattan,10009,Serhant
2317,Multi-family home for sale,1599999,5,4.0,3773.0,New York,Richmond County,40.546124,-74.18266,Staten Island,10312,Other
2318,House for sale,640000,3,2.0,1110.0,New York,Richmond County,40.542862,-74.154976,Staten Island,10308,Other
2319,Co-op for sale,329000,1,1.0,764.0,Kings County,Brooklyn,40.614166,-74.035385,Brooklyn,11209,Other
2320,Multi-family home for sale,750000,4,2.0,2340.0,New York,Bronx County,40.89595,-73.85177,Bronx,10466,eXp Realty
2321,House for sale,1450000,4,4.0,1746.0,New York,Kings County,40.621246,-74.03389,Brooklyn,11209,Other
2322,Condo for sale,1999999,3,3.0,1800.0,Kings County,Brooklyn,40.57701,-73.95834,Brooklyn,11235,Other
2323,House for sale,899888,4,2.0,2185.0,New York,Richmond County,40.621593,-74.14044,Staten Island,10314,Other
2324,Co-op for sale,379000,2,1.0,900.0,Queens County,Queens,40.719467,-73.818306,Queens,11367,Other
2325,Multi-family home for sale,879000,4,2.0,1824.0,New York,Richmond County,40.5453,-74.149254,Staten Island,10308,Other
2326,Co-op for sale,1030000,2,2.0,1077.0,New York County,New York,40.78494,-73.94809,Manhattan,10128,Corcoran
2327,Co-op for sale,699999,1,2.0,2184.2078,New York County,New York,40.78266,-73.972374,Manhattan,10024,Other
2328,Co-op for sale,388000,2,1.0,2184.2078,New York,Queens County,40.727203,-73.84719,Other,11375,eXp Realty
2329,Condo for sale,1750000,1,1.0,937.0,New York County,New York,40.733032,-73.98918,Manhattan,10003,Brown Harris Stevens
2330,Co-op for sale,995000,1,1.0,2184.2078,Kings County,Brooklyn,40.720116,-73.95812,Brooklyn,11249,Other
2331,House for sale,599999,5,4.0,2184.2078,New York,Queens County,40.683662,-73.797035,Queens,11436,Other
2332,Co-op for sale,300000,1,1.0,2184.2078,New York County,New York,40.805065,-73.9525,Manhattan,10026,Brown Harris Stevens
2333,Co-op for sale,389000,1,1.0,900.0,Queens County,Queens,40.74277,-73.87967,Queens,11373,Winzone Realty
2334,Co-op for sale,875000,1,2.0,2184.2078,New York County,New York,40.771015,-73.96426,Manhattan,10021,Douglas Elliman
2335,Condo for sale,3000000,3,3.0,2100.0,New York,New York County,40.759014,-73.961266,Manhattan,10022,COMPASS
2336,Multi-family home for sale,850000,3,2.0,2194.0,New York,Bronx County,40.846737,-73.818954,Bronx,10465,Other
2337,Townhouse for sale,3595000,5,4.0,4675.0,New York,New York County,40.82872,-73.9474,Manhattan,10031,Coldwell Banker
2338,House for sale,925000,3,2.0,2184.2078,New York,Queens County,40.737003,-73.904945,Queens,11377,Other
2339,House for sale,799000,5,3.0,2184.2078,New York,Queens County,40.70394,-73.74593,Other,11429,Keystone Realty USA Corp
2340,House for sale,1880000,3,5.0,1920.0,New York,Queens County,40.74927,-73.811966,Queens,11355,East Coast REALTORS Inc
2341,Co-op for sale,375000,3,1.0,2184.2078,New York County,New York,40.764038,-73.993546,Manhattan,10036,COMPASS
2342,Co-op for sale,269000,1,1.0,625.0,Kings County,Brooklyn,40.632217,-74.03219,Brooklyn,11209,RE/MAX
2343,House for sale,4500000,6,4.0,2184.2078,New York,Queens County,40.788082,-73.818085,Other,11357,Keller Williams
2344,House for sale,589000,3,2.0,1120.0,New York,Kings County,40.669758,-73.86923,Brooklyn,11208,Other
2345,Co-op for sale,239000,1,1.0,700.0,Kings County,Brooklyn,40.60738,-73.96018,Brooklyn,11229,RE/MAX
2346,Co-op for sale,385000,1,1.0,2184.2078,Queens County,Queens,40.750523,-73.88475,Queens,11372,Century Homes Realty Group LLC
2347,Condo for sale,1000000,1,1.0,773.0,New York County,New York,40.757458,-73.979355,Manhattan,10036,Sotheby's International Realty
2348,Co-op for sale,130000,3,1.0,2184.2078,Queens County,Queens,40.71045,-73.79821,Queens,11432,Other
2349,House for sale,798000,3,2.0,760.0,New York,Queens County,40.739254,-73.8523,Other,11368,eXp Realty
2350,Co-op for sale,495000,1,1.0,2184.2078,New York County,New York,40.723892,-73.98937,Manhattan,10003,Douglas Elliman
2351,Condo for sale,555000,1,1.0,649.0,Queens County,Queens,40.72065,-73.80854,Other,11366,B Square Realty
2352,Co-op for sale,1274000,3,2.0,2184.2078,New York County,New York,40.748226,-73.97954,Manhattan,10016,Sotheby's International Realty
2353,Co-op for sale,349000,2,1.0,2184.2078,Queens County,Queens,40.705227,-73.83363,Other,11415,Other
2354,Townhouse for sale,2495000,8,8.0,5374.0,New York,Bronx County,40.898018,-73.8977,Bronx,10471,Brown Harris Stevens
2355,Co-op for sale,749900,3,1.0,830.0,New York County,New York,40.79892,-73.961555,Manhattan,10025,eXp Realty
2356,House for sale,1399900,4,4.0,3149.0,New York,Richmond County,40.590054,-74.09066,Staten Island,10305,Other
2357,Condo for sale,948888,2,2.0,950.0,Kings County,Brooklyn,40.61632,-74.03749,Brooklyn,11209,Other
2358,House for sale,475000,3,2.0,1280.0,New York,Bronx County,40.90349,-73.8436,Bronx,10466,Other
2359,Condo for sale,2595000,3,3.0,1449.0,New York County,New York,40.783356,-73.95,Manhattan,10128,COMPASS
2360,Multi-family home for sale,1199000,3,1.0,2726.0,New York,Richmond County,40.583744,-74.090935,Staten Island,10305,Robert DeFalco Realty
2361,Condo for sale,750000,1,1.0,654.0,Kings County,Brooklyn,40.708157,-73.94445,Brooklyn,11206,COMPASS
2362,Condo for sale,713000,2,2.0,1040.0,New York,Kings County,40.585514,-73.988396,Brooklyn,11214,Other
2363,Co-op for sale,300000,1,1.0,2184.2078,Queens County,Queens,40.74645,-73.89982,Queens,11377,Charles Rutenberg Realty Inc
2364,Co-op for sale,2695000,3,3.0,2184.2078,New York County,New York,40.784313,-73.98148,Manhattan,10024,COMPASS
2365,Co-op for sale,450000,2,2.0,2184.2078,Queens County,Queens,40.747555,-73.71836,Other,11004,Keller Williams
2366,Co-op for sale,699000,1,1.0,2184.2078,New York County,New York,40.795998,-73.97233,Manhattan,10025,Corcoran
2367,Townhouse for sale,10950000,8,8.0,9555.0,New York,New York County,40.78262,-73.98205,Manhattan,10024,"Garfield, Leslie J. & Co., Inc."
2368,Co-op for sale,225000,1,1.0,2184.2078,New York,Queens County,40.757797,-73.71596,Other,11005,Sotheby's International Realty
